Entity,Day,Average surface temperature
Afghanistan,4/15/1953,21.087168
Afghanistan,5/15/1953,27.865068
Afghanistan,6/15/1953,32.556070000000005
Afghanistan,7/15/1953,34.591673
Afghanistan,8/15/1953,32.609258999999994
Afghanistan,9/15/1953,28.287008
Afghanistan,10/15/1953,20.900557499999998
Afghanistan,11/15/1953,14.559751
Afghanistan,12/15/1953,11.2270977
Afghanistan,1/15/1954,7.7233324
Afghanistan,2/15/1954,9.6957886
Afghanistan,3/15/1954,14.35768
Afghanistan,4/15/1954,22.155213
Afghanistan,5/15/1954,28.432029999999997
Afghanistan,6/15/1954,31.634745000000002
Afghanistan,7/15/1954,33.494572000000005
Afghanistan,8/15/1954,32.216335
Afghanistan,9/15/1954,28.1472
Afghanistan,10/15/1954,20.837335000000003
Afghanistan,11/15/1954,14.8687205
Afghanistan,12/15/1954,9.5574141
Afghanistan,1/15/1955,7.8083408
Afghanistan,2/15/1955,11.9990655
Afghanistan,3/15/1955,17.066073
Afghanistan,4/15/1955,20.418738
Afghanistan,5/15/1955,25.599692
Afghanistan,6/15/1955,31.368933
Afghanistan,7/15/1955,34.830061
Afghanistan,8/15/1955,34.045
Afghanistan,9/15/1955,29.243237
Afghanistan,10/15/1955,21.457249
Afghanistan,11/15/1955,18.065752
Afghanistan,12/15/1955,11.2456481
Afghanistan,1/15/1956,6.6480844
Afghanistan,2/15/1956,10.45532194
Afghanistan,3/15/1956,15.0903125
Afghanistan,4/15/1956,21.982361
Afghanistan,5/15/1956,30.125408
Afghanistan,6/15/1956,31.6175
Afghanistan,7/15/1956,34.753487
Afghanistan,8/15/1956,32.34733
Afghanistan,9/15/1956,28.992601
Afghanistan,10/15/1956,21.648647
Afghanistan,11/15/1956,16.559845
Afghanistan,12/15/1956,10.3206576
Afghanistan,1/15/1957,5.7608027
Afghanistan,2/15/1957,7.2520392000000005
Afghanistan,3/15/1957,14.433993300000001
Afghanistan,4/15/1957,18.263815
Afghanistan,5/15/1957,25.505902
Afghanistan,6/15/1957,30.408031
Afghanistan,7/15/1957,32.699718000000004
Afghanistan,8/15/1957,31.63212
Afghanistan,9/15/1957,26.64657
Afghanistan,10/15/1957,21.126281
Afghanistan,11/15/1957,13.929617
Afghanistan,12/15/1957,10.1758453
Afghanistan,1/15/1958,10.57641083
Afghanistan,2/15/1958,10.26495284
Afghanistan,3/15/1958,17.7164235
Afghanistan,4/15/1958,24.712857
Afghanistan,5/15/1958,26.35202
Afghanistan,6/15/1958,32.365267
Afghanistan,7/15/1958,34.673595000000006
Afghanistan,8/15/1958,32.185379
Afghanistan,9/15/1958,29.103752
Afghanistan,10/15/1958,22.156382999999998
Afghanistan,11/15/1958,13.324283600000001
Afghanistan,12/15/1958,11.9450198
Afghanistan,1/15/1959,7.666176
Afghanistan,2/15/1959,8.454480199999999
Afghanistan,3/15/1959,15.9428763
Afghanistan,4/15/1959,23.752792999999997
Afghanistan,5/15/1959,27.388676
Afghanistan,6/15/1959,32.486467000000005
Afghanistan,7/15/1959,33.875866
Afghanistan,8/15/1959,34.712578
Afghanistan,9/15/1959,31.110027
Afghanistan,10/15/1959,24.484926
Afghanistan,11/15/1959,14.0840387
Afghanistan,12/15/1959,6.976153
Afghanistan,1/15/1960,8.7933972
Afghanistan,2/15/1960,13.841293
Afghanistan,3/15/1960,12.812028399999999
Afghanistan,4/15/1960,19.196799
Afghanistan,5/15/1960,26.183858999999998
Afghanistan,6/15/1960,32.782011
Afghanistan,7/15/1960,34.200201
Afghanistan,8/15/1960,33.645427999999995
Afghanistan,9/15/1960,28.3569
Afghanistan,10/15/1960,22.345387
Afghanistan,11/15/1960,14.198013
Afghanistan,12/15/1960,9.4706292
Afghanistan,1/15/1961,8.4560955
Afghanistan,2/15/1961,7.7455184
Afghanistan,3/15/1961,15.911154
Afghanistan,4/15/1961,19.693775000000002
Afghanistan,5/15/1961,28.555164
Afghanistan,6/15/1961,32.114627999999996
Afghanistan,7/15/1961,35.280395999999996
Afghanistan,8/15/1961,33.237867
Afghanistan,9/15/1961,30.061872
Afghanistan,10/15/1961,20.942545
Afghanistan,11/15/1961,14.1742034
Afghanistan,12/15/1961,9.85943401
Afghanistan,1/15/1962,7.2303646
Afghanistan,2/15/1962,12.885145
Afghanistan,3/15/1962,16.9292912
Afghanistan,4/15/1962,22.549415
Afghanistan,5/15/1962,27.496532000000002
Afghanistan,6/15/1962,30.8056
Afghanistan,7/15/1962,34.228145999999995
Afghanistan,8/15/1962,32.1511
Afghanistan,9/15/1962,26.197176000000002
Afghanistan,10/15/1962,21.009610000000002
Afghanistan,11/15/1962,13.1436596
Afghanistan,12/15/1962,9.10984594
Afghanistan,1/15/1963,9.80529615
Afghanistan,2/15/1963,14.348009600000001
Afghanistan,3/15/1963,16.3633146
Afghanistan,4/15/1963,23.066271
Afghanistan,5/15/1963,27.33387
Afghanistan,6/15/1963,33.195099
Afghanistan,7/15/1963,34.118359
Afghanistan,8/15/1963,32.738724
Afghanistan,9/15/1963,28.408379999999998
Afghanistan,10/15/1963,24.04956
Afghanistan,11/15/1963,15.754785
Afghanistan,12/15/1963,9.75143366
Afghanistan,1/15/1964,1.9465140000000005
Afghanistan,2/15/1964,10.141331
Afghanistan,3/15/1964,16.646236000000002
Afghanistan,4/15/1964,21.755668
Afghanistan,5/15/1964,27.28669
Afghanistan,6/15/1964,31.663418
Afghanistan,7/15/1964,33.699960000000004
Afghanistan,8/15/1964,33.076101
Afghanistan,9/15/1964,27.528997
Afghanistan,10/15/1964,19.698023
Afghanistan,11/15/1964,15.205973
Afghanistan,12/15/1964,6.496516
Afghanistan,1/15/1965,9.5914856
Afghanistan,2/15/1965,9.27383554
Afghanistan,3/15/1965,14.197852600000001
Afghanistan,4/15/1965,20.1835165
Afghanistan,5/15/1965,26.585
Afghanistan,6/15/1965,31.329775
Afghanistan,7/15/1965,33.820826999999994
Afghanistan,8/15/1965,31.425743
Afghanistan,9/15/1965,27.260085999999998
Afghanistan,10/15/1965,24.610365
Afghanistan,11/15/1965,17.0438647
Afghanistan,12/15/1965,9.23002464
Afghanistan,1/15/1966,10.5128953
Afghanistan,2/15/1966,13.522498
Afghanistan,3/15/1966,15.1347117
Afghanistan,4/15/1966,20.882873
Afghanistan,5/15/1966,27.048271
Afghanistan,6/15/1966,33.08589
Afghanistan,7/15/1966,33.57021
Afghanistan,8/15/1966,32.455708
Afghanistan,9/15/1966,27.783576999999998
Afghanistan,10/15/1966,21.396828999999997
Afghanistan,11/15/1966,13.231456
Afghanistan,12/15/1966,11.1303755
Afghanistan,1/15/1967,7.2052906
Afghanistan,2/15/1967,10.6574726
Afghanistan,3/15/1967,14.5235615
Afghanistan,4/15/1967,20.059572
Afghanistan,5/15/1967,25.785335
Afghanistan,6/15/1967,31.187916
Afghanistan,7/15/1967,34.428854
Afghanistan,8/15/1967,32.719986
Afghanistan,9/15/1967,29.04629
Afghanistan,10/15/1967,21.127695
Afghanistan,11/15/1967,16.4148226
Afghanistan,12/15/1967,9.37915426
Afghanistan,1/15/1968,7.3519053
Afghanistan,2/15/1968,7.9107888
Afghanistan,3/15/1968,15.950264
Afghanistan,4/15/1968,21.584600000000002
Afghanistan,5/15/1968,25.439327
Afghanistan,6/15/1968,32.175028
Afghanistan,7/15/1968,33.835901
Afghanistan,8/15/1968,32.520836
Afghanistan,9/15/1968,28.299507000000002
Afghanistan,10/15/1968,21.880808000000002
Afghanistan,11/15/1968,15.776141599999999
Afghanistan,12/15/1968,9.97737466
Afghanistan,1/15/1969,6.276612500000001
Afghanistan,2/15/1969,8.5304942
Afghanistan,3/15/1969,18.978417999999998
Afghanistan,4/15/1969,21.900792
Afghanistan,5/15/1969,26.819544
Afghanistan,6/15/1969,31.654541000000002
Afghanistan,7/15/1969,34.121313
Afghanistan,8/15/1969,32.225182000000004
Afghanistan,9/15/1969,27.522593
Afghanistan,10/15/1969,23.8063
Afghanistan,11/15/1969,14.095044999999999
Afghanistan,12/15/1969,13.1131124
Afghanistan,1/15/1970,8.3794194
Afghanistan,2/15/1970,11.223292
Afghanistan,3/15/1970,14.557882
Afghanistan,4/15/1970,23.760285000000003
Afghanistan,5/15/1970,29.705406
Afghanistan,6/15/1970,32.831407999999996
Afghanistan,7/15/1970,33.957874000000004
Afghanistan,8/15/1970,35.175281999999996
Afghanistan,9/15/1970,28.722618
Afghanistan,10/15/1970,23.250363
Afghanistan,11/15/1970,16.762733
Afghanistan,12/15/1970,11.1981549
Afghanistan,1/15/1971,7.277813399999999
Afghanistan,2/15/1971,10.8813595
Afghanistan,3/15/1971,17.21809
Afghanistan,4/15/1971,23.867327
Afghanistan,5/15/1971,29.956469
Afghanistan,6/15/1971,34.262657000000004
Afghanistan,7/15/1971,34.360855
Afghanistan,8/15/1971,33.344063000000006
Afghanistan,9/15/1971,27.354426999999998
Afghanistan,10/15/1971,22.23873
Afghanistan,11/15/1971,17.6880994
Afghanistan,12/15/1971,13.936996
Afghanistan,1/15/1972,7.0761979
Afghanistan,2/15/1972,3.0302789999999993
Afghanistan,3/15/1972,14.582101000000002
Afghanistan,4/15/1972,21.2355795
Afghanistan,5/15/1972,26.107761
Afghanistan,6/15/1972,31.690835999999997
Afghanistan,7/15/1972,32.609592000000006
Afghanistan,8/15/1972,30.533533
Afghanistan,9/15/1972,27.647875
Afghanistan,10/15/1972,21.955341
Afghanistan,11/15/1972,17.295503
Afghanistan,12/15/1972,8.042983
Afghanistan,1/15/1973,4.6963919999999995
Afghanistan,2/15/1973,12.2185867
Afghanistan,3/15/1973,15.6620603
Afghanistan,4/15/1973,23.601779999999998
Afghanistan,5/15/1973,28.497532
Afghanistan,6/15/1973,34.334446
Afghanistan,7/15/1973,35.024939
Afghanistan,8/15/1973,33.557548999999995
Afghanistan,9/15/1973,28.272346
Afghanistan,10/15/1973,22.394967
Afghanistan,11/15/1973,16.853833
Afghanistan,12/15/1973,9.12323433
Afghanistan,1/15/1974,6.954249000000001
Afghanistan,2/15/1974,6.4986625
Afghanistan,3/15/1974,16.8422403
Afghanistan,4/15/1974,23.615031000000002
Afghanistan,5/15/1974,27.852419
Afghanistan,6/15/1974,31.912308
Afghanistan,7/15/1974,34.222061
Afghanistan,8/15/1974,31.96061
Afghanistan,9/15/1974,27.988073
Afghanistan,10/15/1974,19.776259
Afghanistan,11/15/1974,15.2990847
Afghanistan,12/15/1974,8.470928
