Country,Date,Currency(USD)*1000
India,2019-06-03,14.461315979754158
India,2019-06-04,14.434180138568127
India,2019-06-05,14.407145944388418
India,2019-06-06,14.448779078167894
India,2019-06-07,14.425851125216392
India,2019-06-08,14.414068130495362
India,2019-06-09,14.402304368698996
India,2019-06-10,14.390559792775939
India,2019-06-11,14.405070584845864
India,2019-06-12,14.419610670511894
India,2019-06-13,14.38228102977132
India,2019-06-14,14.324595330181925
India,2019-06-15,14.323227500596802
India,2019-06-16,14.321859932209867
India,2019-06-17,14.3204926249463
India,2019-06-18,14.367816091954026
India,2019-06-19,14.359563469270535
India,2019-06-20,14.400921658986174
India,2019-06-21,14.369880729989939
India,2019-06-22,14.388489208633096
India,2019-06-23,14.407145944388418
India,2019-06-24,14.425851125216392
India,2019-06-25,14.438348252959859
India,2019-06-26,14.455044810638912
India,2019-06-27,14.490653528474136
India,2019-06-28,14.509576320371444
India,2019-06-29,14.513085965845873
India,2019-06-30,14.516597309590633
India,2019-07-01,14.52011035283868
India,2019-07-02,14.52011035283868
India,2019-07-03,14.536996656490768
India,2019-07-04,14.569825890580606
India,2019-07-05,14.602803738317757
India,2019-07-06,14.59782978930466
India,2019-07-07,14.592859227551315
India,2019-07-08,14.587892049598837
India,2019-07-09,14.590020426028595
India,2019-07-10,14.61988304093567
India,2019-07-11,14.61988304093567
India,2019-07-12,14.583637159107482
India,2019-07-13,14.587182728775652
India,2019-07-14,14.590730022858812
India,2019-07-15,14.594279042615295
India,2019-07-16,14.564520827264786
India,2019-07-17,14.526438117373619
India,2019-07-18,14.524328249818447
India,2019-07-19,14.530659691950015
India,2019-07-20,14.525734760083285
India,2019-07-21,14.520813165537273
India,2019-07-22,14.515894904920886
India,2019-07-23,14.494854326714018
India,2019-07-24,14.50536698578474
India,2019-07-25,14.486455164421265
India,2019-07-26,14.515894904920886
India,2019-07-27,14.52714154278243
India,2019-07-28,14.53840562151684
India,2019-07-29,14.549687181725593
India,2019-07-30,14.530659691950015
India,2019-07-31,14.532771399505885
India,2019-08-01,14.492753623188404
India,2019-08-02,14.357501794687725
India,2019-08-03,14.278914802475011
India,2019-08-04,14.201183431952662
India,2019-08-05,14.124293785310734
India,2019-08-06,14.104372355430186
India,2019-08-07,14.048890137679123
India,2019-08-08,14.16029453412631
India,2019-08-09,14.10238330277817
India,2019-08-10,14.078558355624384
India,2019-08-11,14.054813773717498
India,2019-08-12,14.031149151115475
India,2019-08-13,14.00364094664613
India,2019-08-14,14.031149151115475
India,2019-08-15,13.92951664577239
India,2019-08-16,14.054813773717495
India,2019-08-17,14.035744362309346
India,2019-08-18,14.01672662710835
India,2019-08-19,13.997760358342664
India,2019-08-20,13.978194017332957
India,2019-08-21,13.999720005599887
India,2019-08-22,13.908205841446453
India,2019-08-23,13.987970345502868
India,2019-08-24,13.953488372093025
India,2019-08-25,13.919175984781699
India,2019-08-26,13.885031935573453
India,2019-08-27,13.982102908277405
India,2019-08-28,13.937282229965156
India,2019-08-29,13.952839402818473
India,2019-08-30,13.995801259622114
India,2019-08-31,13.95916942941895
India,2019-09-01,13.922728854855551
India,2019-09-02,13.886478042006596
India,2019-09-03,13.850415512465371
India,2019-09-04,13.867702121758425
India,2019-09-05,13.919821826280625
India,2019-09-06,13.950892857142856
India,2019-09-07,13.952190493907542
India,2019-09-08,13.953488372093025
India,2019-09-09,13.954786491766678
India,2019-09-10,13.910140492418973
India,2019-09-11,13.962580284836635
India,2019-09-12,14.10238330277817
India,2019-09-13,14.084507042253524
India,2019-09-14,14.049548072870323
India,2019-09-15,14.014762216201065
India,2019-09-16,13.98014818957081
India,2019-09-17,13.991884706870014
India,2019-09-18,14.05283867341203
India,2019-09-19,14.023278642546627
India,2019-09-20,14.074595355383535
India,2019-09-21,14.091784489642539
India,2019-09-22,14.109015661007385
India,2019-09-23,14.126289023873428
India,2019-09-24,14.0964195094446
India,2019-09-25,14.084507042253524
India,2019-09-26,14.098406880022555
India,2019-09-27,14.186409419775856
India,2019-09-28,14.176353841791892
India,2019-09-29,14.166312508853945
India,2019-09-30,14.156285390713474
India,2019-10-01,14.062719729995782
India,2019-10-02,14.05086412814388
India,2019-10-03,14.078558355624384
India,2019-10-04,14.112334180073384
India,2019-10-05,14.10503549767267
India,2019-10-06,14.097744360902256
India,2019-10-07,14.090460758066788
India,2019-10-08,14.042971492767869
India,2019-10-09,14.066676044450695
India,2019-10-10,14.088475626937162
India,2019-10-11,14.10238330277817
India,2019-10-12,14.074100137222473
India,2019-10-13,14.04593019172695
India,2019-10-14,14.017872787804448
India,2019-10-15,13.989927252378287
India,2019-10-16,14.011489421325484
India,2019-10-17,14.066676044450695
India,2019-10-18,14.070634585619814
India,2019-10-19,14.081862561021405
India,2019-10-20,14.093108469958189
India,2019-10-21,14.104372355430186
India,2019-10-22,14.122299110295154
India,2019-10-23,14.122299110295154
India,2019-10-24,14.08252358822701
India,2019-10-25,14.128284826222096
India,2019-10-26,14.132943892212749
India,2019-10-27,14.137606032045241
India,2019-10-28,14.142271248762553
India,2019-10-29,14.112334180073384
India,2019-10-30,14.092446448703495
India,2019-10-31,14.08252358822701
India,2019-11-01,14.132278123233464
India,2019-11-02,14.130281192595731
India,2019-11-03,14.128284826222096
India,2019-11-04,14.126289023873428
India,2019-11-05,14.122299110295154
India,2019-11-06,14.092446448703495
India,2019-11-07,14.076576576576574
India,2019-11-08,14.015416958654521
India,2019-11-09,13.995801259622116
India,2019-11-10,13.976240391334732
India,2019-11-11,13.95673412421493
India,2019-11-12,13.937282229965156
