Terminal,ReportPeriod,Passenger_Count
Miscellaneous Terminal,2015-11-01,178450.0
Miscellaneous Terminal,2015-12-01,197953.0
Miscellaneous Terminal,2016-01-01,198145.0
Miscellaneous Terminal,2016-02-01,186490.0
Miscellaneous Terminal,2016-03-01,198377.0
Miscellaneous Terminal,2016-04-01,196628.0
Miscellaneous Terminal,2016-05-01,212910.0
Miscellaneous Terminal,2016-06-01,259107.0
Miscellaneous Terminal,2016-07-01,268170.0
Miscellaneous Terminal,2016-08-01,250362.0
Miscellaneous Terminal,2016-09-01,227788.0
Miscellaneous Terminal,2016-10-01,235929.0
Miscellaneous Terminal,2016-11-01,223828.0
Miscellaneous Terminal,2016-12-01,231346.0
Miscellaneous Terminal,2017-01-01,230695.0
Miscellaneous Terminal,2017-02-01,216761.0
Miscellaneous Terminal,2017-03-01,254034.0
Miscellaneous Terminal,2017-04-01,234222.0
Miscellaneous Terminal,2017-05-01,234425.0
Miscellaneous Terminal,2017-06-01,255918.0
Miscellaneous Terminal,2017-07-01,265909.0
Miscellaneous Terminal,2017-08-01,255932.0
Miscellaneous Terminal,2017-09-01,242060.0
Miscellaneous Terminal,2017-10-01,256510.0
Miscellaneous Terminal,2017-11-01,246264.0
Miscellaneous Terminal,2017-12-01,258203.0
Miscellaneous Terminal,2018-01-01,230811.0
Miscellaneous Terminal,2018-02-01,217731.0
Miscellaneous Terminal,2018-03-01,245590.0
Miscellaneous Terminal,2018-04-01,247143.0
Miscellaneous Terminal,2018-05-01,258108.0
Miscellaneous Terminal,2018-06-01,254367.0
Miscellaneous Terminal,2018-07-01,261660.0
Miscellaneous Terminal,2018-08-01,261809.0
Miscellaneous Terminal,2018-09-01,250552.0
Miscellaneous Terminal,2018-10-01,266767.0
Miscellaneous Terminal,2018-11-01,245709.0
Miscellaneous Terminal,2018-12-01,254334.0
Miscellaneous Terminal,2019-01-01,236988.0
Miscellaneous Terminal,2019-02-01,225035.0
Miscellaneous Terminal,2019-03-01,268836.0
Miscellaneous Terminal,2019-04-01,245752.0
Miscellaneous Terminal,2019-05-01,257015.0
Miscellaneous Terminal,2019-06-01,263433.0
Miscellaneous Terminal,2019-07-01,270032.0
Miscellaneous Terminal,2019-08-01,259767.0
Miscellaneous Terminal,2019-09-01,229520.0
Miscellaneous Terminal,2019-10-01,235609.0
Miscellaneous Terminal,2019-11-01,219695.0
Miscellaneous Terminal,2019-12-01,252797.0
Miscellaneous Terminal,2020-01-01,223550.0
Miscellaneous Terminal,2020-02-01,214902.0
Miscellaneous Terminal,2020-03-01,118226.0
Miscellaneous Terminal,2020-04-01,1963.0
Miscellaneous Terminal,2020-05-01,207.0
Miscellaneous Terminal,2020-06-01,232.0
Miscellaneous Terminal,2020-07-01,33.0
Miscellaneous Terminal,2020-08-01,547.0
Miscellaneous Terminal,2020-09-01,961.0
Miscellaneous Terminal,2020-10-01,1268.0
Miscellaneous Terminal,2020-11-01,890.0
Miscellaneous Terminal,2020-12-01,633.0
Miscellaneous Terminal,2021-01-01,6191.0
Miscellaneous Terminal,2021-02-01,4447.0
Miscellaneous Terminal,2021-03-01,637.0
Miscellaneous Terminal,2021-04-01,40655.0
Miscellaneous Terminal,2021-05-01,59984.0
Miscellaneous Terminal,2021-06-01,133648.0
Miscellaneous Terminal,2021-07-01,150014.0
Miscellaneous Terminal,2021-08-01,131919.0
Miscellaneous Terminal,2021-09-01,114465.0
Miscellaneous Terminal,2021-10-01,139268.0
Miscellaneous Terminal,2021-11-01,121702.0
Miscellaneous Terminal,2021-12-01,110845.0
